sample_id,width,height,ground_truth_foreground_pixels,predicted_foreground_pixels,true_positive,true_negative,false_positive,false_negative,dice,iou,precision,recall,specificity,balanced_accuracy,pixel_accuracy,mcc,binary_cross_entropy,foreground_area_error_percent
8cdbdda8b3a64c97409c0160bcfb06eb8e876cedc3691aa63ca16dbafae6f948,696,520,53056,45832,43718,306750,2114,9338,0.8841922174581345,0.7924234185245604,0.9538750218188166,0.8239972858866104,0.9931555636137588,0.9085764247501846,0.9683576480990274,0.8690920727829466,0.10172106574463174,13.615802171290712
237802ac5005f9cf782367156c46c383efd9e05088e5768ca883cbbe24abadb1,256,256,1021,1010,985,64490,25,36,0.9699655342195963,0.9416826003824091,0.9752475247524752,0.9647404505386875,0.9996124932186313,0.9821764718786594,0.9990692138671875,0.9695075011378432,0.002643248868618377,1.0773751224289911
947c0d94c8213ac7aaa41c4efc95d854246550298259cf1bb489654d0e969050,320,256,11918,14282,11102,66822,3180,816,0.8474809160305343,0.7353291826732018,0.7773421089483266,0.931532136264474,0.9545727264935288,0.9430524313790014,0.951220703125,0.8234782662523685,0.11467564566036192,19.83554287632153
220b37f4ca7cab486d2b71cd87a46ee7411a5aa142799d96ed98015ab5ba538a,320,256,209,496,208,81423,288,1,0.5900709219858156,0.41851106639839036,0.41935483870967744,0.9952153110047847,0.9964753827514043,0.9958453468780946,0.99647216796875,0.6448706161615829,0.010386720132543008,137.32057416267943
fd8065bcb1afdbed19e028465d5d00cd2ecadc4558de05c6fa28bea3c817aa22,256,256,22223,13969,13672,43016,297,8551,0.75552608311229,0.6071047957371225,0.9787386355501467,0.6152184673536426,0.9931429363008797,0.8041807018272611,0.864990234375,0.7032399546905892,0.5193378490781044,37.141700040498584
80632d6be60c8462e50d51bcf5caf15308931603095d6b5e772a115cd0d0470c,640,512,41164,30678,28655,284493,2023,12509,0.7977227805461986,0.6635098525019103,0.9340569789425647,0.6961179671557671,0.9929393122897151,0.8445286397227412,0.95565185546875,0.7839625937598089,0.20972751489138575,25.473714896511513
52a4ac5a875be7a6c886035d54fb63f5f397dc43508c4831898f6b2f8debc7f3,256,256,1568,1785,1562,63745,223,6,0.9317029525797793,0.8721384701284198,0.8750700280112045,0.9961734693877551,0.9965138819409705,0.9963436756643628,0.9965057373046875,0.9319750642594256,0.008078089801225903,13.839285714285714
3a508d2dc03db46e7f97a2a30eabb62ab2886f3cedfea303de8f6a42e50d20eb,256,256,3182,3094,3005,62265,89,177,0.9576163161249204,0.918679302965454,0.9712346477052359,0.9443746071653049,0.9985726657471854,0.9714736364562451,0.995941162109375,0.9555889049570774,0.015839385393772325,2.765556253928347
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,256,256,23015,18145,17873,42249,272,5142,0.8684645286686103,0.7675097693992357,0.9850096445301736,0.7765804909841407,0.9936031607911385,0.8850918258876397,0.917388916015625,0.8216277475758235,0.2602440006206006,21.160112969802302
81e2dd950e6df28a4fe202a40afa98b202981f65a5ca05b389749290eb87c883,256,256,1706,1620,1600,63810,20,106,0.9621166566446182,0.9269988412514485,0.9876543209876543,0.9378663540445487,0.9996866677111076,0.9687765108778281,0.998077392578125,0.9614694119638449,0.004658662988871639,5.041031652989449
fc22db33a2495f58f118bc182c0087e140df14ccb8dad51373e1a54381f683de,696,520,49964,47878,45702,309780,2176,4262,0.9342000367940149,0.8765247410817031,0.9545511508417227,0.9146985829797454,0.9930246573234687,0.953861620151607,0.9822115384615384,0.9242019034981442,0.04936635167660608,4.175006004323112
3b75fc03a1d12b29bd2870eb1f6fdb44174dbd1118dfc11c31f127bd87bd27ef,256,256,1182,1221,1168,64301,53,14,0.9721181856013317,0.945748987854251,0.9565929565929566,0.988155668358714,0.9991764303695186,0.9936660493641163,0.9989776611328125,0.9717304206309856,0.0028173992995725442,3.299492385786802
0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426,256,256,16236,14254,13844,48890,410,2392,0.9081010167267957,0.8316712723777484,0.9712361442402133,0.8526730721852673,0.9916835699797161,0.9221783210824916,0.957244873046875,0.8835640774152024,0.11625296041971317,12.207440256220744
68f833de9f8c631cedd7031b8ed9b908c42cbbc1e14254722728a8b7d596fd4c,256,256,2117,1674,1523,63268,151,594,0.8034819308889475,0.6715167548500882,0.9097968936678614,0.7194142654700048,0.9976190100758447,0.8585166377729248,0.9886322021484375,0.8035454566372849,0.03873339812397719,20.925838450637695
e5f8ad0f0a43af8ca57e31e16800108abdfb44a7e962a71d246f72d2dbde42bf,256,256,1193,1224,1182,64301,42,11,0.9780719900703351,0.957085020242915,0.9656862745098039,0.9907795473595976,0.9993472483409228,0.9950633978502602,0.9991912841796875,0.9777435779295853,0.0019952069894862492,2.5984911986588433
adc315bd40d699fd4e4effbcce81cd7162851007f485d754ad3b0472f73a86df,360,360,11949,28399,10843,100095,17556,1106,0.5374739764052742,0.367497034400949,0.38180921863445894,0.9074399531341535,0.8507789989035367,0.8791094760188451,0.8560030864197531,0.5302910554323457,0.6770382861322627,137.66842413591095
54793624413c7d0e048173f7aeee85de3277f7e8d47c82e0a854fe43e879cd12,1024,1024,20341,706,559,1028088,147,19782,0.053119209388511425,0.02728426395939086,0.7917847025495751,0.02748144142372548,0.9998570365723789,0.5136692389980522,0.9809942245483398,0.14536190969189217,0.0893320654693132,96.52917752322895
a486f6ed4b8781e7883e433d06a83dd66db3e8b36d45b9976c4214820ee22629,696,520,47930,46358,45050,312682,1308,2880,0.9555828949601222,0.9149437426378001,0.9717848052116139,0.9399123722094721,0.9958342622376509,0.9678733172235615,0.9884283819628648,0.949107053927413,0.029849017079477017,3.2797830168996454
